                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.62724,                0.37163,                0.84641,                0.91849,                0.88644,                0.94647,                0.81156,                0.59442,                0.34717,                0.83229,              0.0086706,              0.0086706,              0.0086706
                     50,                0.62536,                0.36962,                0.84418,                0.91597,                0.88827,                 0.9467,                0.81178,                0.59431,                0.34717,                0.83222,              0.0086423,              0.0086423,              0.0086423
                     51,                 0.6332,                0.37854,                0.84909,                0.91569,                  0.889,                0.94648,                 0.8116,                0.59425,                0.34759,                0.83222,               0.008614,               0.008614,               0.008614
                     52,                0.63426,                0.37668,                0.84817,                 0.9158,                0.88894,                0.94674,                0.81197,                0.59427,                0.34788,                0.83222,              0.0085857,              0.0085857,              0.0085857
                     53,                 0.6341,                0.37835,                0.84962,                0.91538,                0.88902,                0.94662,                0.81165,                0.59426,                0.34818,                0.83224,              0.0085574,              0.0085574,              0.0085574
                     54,                0.63444,                0.37496,                0.84747,                  0.915,                0.88908,                0.94655,                0.81189,                0.59422,                0.34815,                0.83226,              0.0085291,              0.0085291,              0.0085291
                     55,                0.62749,                0.37269,                0.84662,                0.91544,                0.88807,                0.94661,                0.81179,                0.59411,                0.34831,                0.83228,              0.0085009,              0.0085009,              0.0085009
                     56,                0.62797,                0.37285,                0.84636,                0.91549,                0.88793,                0.94641,                 0.8118,                0.59411,                0.34865,                 0.8323,              0.0084726,              0.0084726,              0.0084726
                     57,                0.62232,                0.36614,                0.84582,                0.91638,                0.88742,                0.94643,                0.81173,                0.59403,                0.34869,                0.83231,              0.0084443,              0.0084443,              0.0084443
                     58,                0.61997,                0.36662,                0.84632,                0.91749,                 0.8869,                0.94629,                0.81187,                0.59392,                0.34865,                0.83231,               0.008416,               0.008416,               0.008416
                     59,                0.62587,                0.36914,                0.84587,                0.91656,                0.88765,                 0.9463,                0.81175,                0.59396,                0.34891,                0.83236,              0.0083877,              0.0083877,              0.0083877
                     60,                0.61917,                0.36318,                0.84383,                0.91711,                0.88698,                0.94629,                0.81213,                0.59392,                0.34916,                0.83238,              0.0083594,              0.0083594,              0.0083594
                     61,                 0.6177,                0.36312,                 0.8437,                0.91731,                0.88645,                0.94617,                0.81177,                0.59393,                0.34941,                0.83239,              0.0083311,              0.0083311,              0.0083311
                     62,                0.61936,                0.36318,                0.84555,                0.91708,                 0.8868,                0.94611,                0.81156,                0.59398,                0.34952,                0.83247,              0.0083029,              0.0083029,              0.0083029
                     63,                0.61966,                0.36285,                0.84361,                0.91613,                0.88718,                0.94615,                0.81175,                0.59409,                0.34957,                0.83249,              0.0082746,              0.0082746,              0.0082746
                     64,                0.61824,                0.36394,                0.84487,                0.91583,                0.88771,                0.94584,                0.81169,                0.59405,                0.34928,                0.83249,              0.0082463,              0.0082463,              0.0082463
                     65,                0.61856,                0.36144,                0.84231,                0.91928,                0.88513,                0.94547,                0.81095,                0.59416,                0.34954,                0.83253,               0.008218,               0.008218,               0.008218
                     66,                0.61917,                 0.3617,                0.84419,                0.91951,                0.88493,                0.94555,                0.81113,                0.59422,                0.34914,                 0.8326,              0.0081897,              0.0081897,              0.0081897
                     67,                0.61629,                0.35922,                0.84305,                0.91733,                0.88601,                0.94554,                0.81096,                0.59426,                0.34942,                0.83263,              0.0081614,              0.0081614,              0.0081614
                     68,                 0.6169,                0.36009,                0.84352,                0.91519,                0.88739,                 0.9454,                0.81105,                0.59424,                0.34937,                0.83264,              0.0081331,              0.0081331,              0.0081331
                     69,                0.61607,                0.36211,                0.84277,                0.91432,                0.88784,                0.94557,                0.81118,                0.59431,                0.34954,                0.83265,              0.0081049,              0.0081049,              0.0081049
                     70,                0.61535,                0.36124,                0.84389,                0.91518,                0.88763,                0.94543,                0.81105,                0.59432,                0.34945,                0.83272,              0.0080766,              0.0080766,              0.0080766
