                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.62293,                0.36433,                0.84278,                0.90515,                0.89197,                0.94219,                0.80538,                0.59415,                0.34952,                0.83304,              0.0083029,              0.0083029,              0.0083029
                     63,                0.62138,                0.36075,                0.84165,                0.91004,                0.88675,                0.94262,                0.80578,                0.59368,                0.34856,                0.83208,              0.0082746,              0.0082746,              0.0082746
                     64,                0.62383,                0.36659,                0.84479,                0.91959,                 0.8767,                0.94169,                0.80544,                0.59362,                0.34859,                0.83253,              0.0082463,              0.0082463,              0.0082463
                     65,                0.62388,                 0.3645,                0.84386,                 0.9111,                0.88652,                0.94284,                0.80581,                0.59235,                0.34742,                0.83257,               0.008218,               0.008218,               0.008218
                     66,                0.62442,                  0.366,                0.84477,                0.91874,                0.88065,                0.94267,                0.80571,                0.59254,                0.34742,                0.83183,              0.0081897,              0.0081897,              0.0081897
                     67,                0.62129,                0.36355,                0.84272,                0.91596,                0.88194,                 0.9429,                0.80601,                0.59355,                 0.3478,                0.83252,              0.0081614,              0.0081614,              0.0081614
                     68,                  0.621,                0.36033,                0.84341,                0.91271,                0.88488,                0.94253,                0.80684,                  0.592,                0.34759,                0.83247,              0.0081331,              0.0081331,              0.0081331
                     69,                0.61899,                0.36044,                0.84323,                0.91096,                0.88415,                0.94124,                 0.8051,                0.59253,                0.35114,                0.83276,              0.0081049,              0.0081049,              0.0081049
                     70,                 0.6186,                0.35961,                 0.8427,                0.91256,                0.88244,                0.94003,                0.80484,                0.59248,                0.35186,                0.83283,              0.0080766,              0.0080766,              0.0080766
                     71,                0.62043,                0.36243,                0.84278,                0.91216,                0.88579,                 0.9406,                0.80493,                0.59233,                0.34993,                0.83294,              0.0080483,              0.0080483,              0.0080483
                     72,                0.61869,                0.36055,                0.84465,                0.91364,                0.88699,                0.94163,                0.80633,                0.59186,                0.34854,                0.83307,                0.00802,                0.00802,                0.00802
                     73,                0.61813,                0.35901,                0.84341,                0.91196,                0.88551,                0.94074,                0.80589,                0.59144,                0.35016,                0.83307,              0.0079917,              0.0079917,              0.0079917
                     74,                0.61085,                0.35089,                0.84036,                0.91167,                0.88852,                0.94147,                0.80657,                0.59099,                 0.3498,                0.83301,              0.0079634,              0.0079634,              0.0079634
                     75,                0.61256,                0.35507,                0.84082,                0.91166,                 0.8869,                0.94124,                  0.806,                0.59235,                0.35072,                0.83353,              0.0079351,              0.0079351,              0.0079351
                     76,                0.61208,                0.35222,                0.84187,                0.90972,                0.88814,                  0.941,                0.80603,                0.59242,                0.35165,                0.83396,              0.0079069,              0.0079069,              0.0079069
                     77,                0.61184,                0.35404,                0.84055,                0.90914,                0.88676,                0.94095,                0.80564,                0.59225,                0.35131,                 0.8341,              0.0078786,              0.0078786,              0.0078786
                     78,                0.61465,                0.35695,                0.84106,                0.90693,                0.88866,                0.94058,                0.80564,                 0.5923,                0.35189,                0.83401,              0.0078503,              0.0078503,              0.0078503
                     79,                 0.6098,                0.35139,                0.83998,                0.91526,                0.87956,                 0.9401,                0.80578,                0.59225,                0.35192,                0.83407,               0.007822,               0.007822,               0.007822
                     80,                0.61142,                0.35419,                0.83985,                0.91657,                0.87912,                 0.9399,                0.80552,                0.59243,                0.35219,                0.83397,              0.0077937,              0.0077937,              0.0077937
                     81,                0.60598,                 0.3499,                0.83996,                0.91459,                0.87923,                0.93966,                0.80491,                0.59267,                0.35267,                 0.8341,              0.0077654,              0.0077654,              0.0077654
                     82,                0.61126,                0.35463,                0.84185,                0.91537,                0.87976,                0.94014,                0.80511,                0.59221,                0.35317,                0.83399,              0.0077371,              0.0077371,              0.0077371
                     83,                0.60776,                0.34919,                0.83959,                0.91602,                0.87824,                0.94054,                0.80547,                 0.5928,                0.35365,                0.83406,              0.0077089,              0.0077089,              0.0077089
                     84,                0.60801,                0.35244,                0.83972,                0.91314,                0.88255,                0.94193,                0.80645,                0.59279,                0.35172,                0.83399,              0.0076806,              0.0076806,              0.0076806
                     85,                0.61056,                 0.3545,                 0.8411,                0.91473,                0.88205,                0.94156,                0.80649,                0.59289,                0.35206,                0.83396,              0.0076523,              0.0076523,              0.0076523
                     86,                 0.6071,                0.34882,                0.83835,                 0.9148,                0.88121,                0.94141,                0.80612,                0.59329,                0.35253,                0.83405,               0.007624,               0.007624,               0.007624
                     87,                0.60539,                0.34874,                0.83961,                0.91289,                0.88326,                0.94156,                0.80603,                0.59345,                0.35274,                0.83411,              0.0075957,              0.0075957,              0.0075957
                     88,                0.60642,                0.35127,                0.83878,                 0.9116,                0.88422,                0.94112,                0.80568,                 0.5938,                0.35301,                0.83429,              0.0075674,              0.0075674,              0.0075674
                     89,                0.60583,                0.34704,                0.83876,                0.91211,                0.88449,                0.94091,                0.80541,                0.59358,                0.35313,                0.83428,              0.0075391,              0.0075391,              0.0075391
                     90,                0.60643,                0.35195,                0.83983,                0.91147,                0.88453,                0.94045,                0.80515,                0.59372,                0.35374,                0.83431,              0.0075109,              0.0075109,              0.0075109
                     91,                0.60552,                0.35057,                0.83974,                0.90956,                0.88501,                0.94005,                0.80505,                0.59349,                0.35437,                0.83419,              0.0074826,              0.0074826,              0.0074826
                     92,                0.60294,                0.34686,                0.83762,                0.91446,                0.87943,                0.93993,                0.80504,                0.59316,                0.35484,                0.83407,              0.0074543,              0.0074543,              0.0074543
                     93,                0.60189,                0.34738,                0.83771,                 0.9133,                0.88017,                0.93983,                0.80475,                 0.5932,                0.35537,                0.83412,               0.007426,               0.007426,               0.007426
                     94,                0.59916,                0.34384,                0.83717,                0.91301,                0.88052,                 0.9397,                0.80473,                0.59347,                0.35545,                0.83421,              0.0073977,              0.0073977,              0.0073977
                     95,                0.59947,                0.34338,                 0.8378,                0.91533,                0.87836,                 0.9392,                0.80422,                0.59381,                0.35599,                0.83434,              0.0073694,              0.0073694,              0.0073694
                     96,                0.59916,                0.34357,                0.83643,                0.91442,                0.88013,                0.93871,                0.80431,                0.59363,                0.35608,                0.83429,              0.0073411,              0.0073411,              0.0073411
                     97,                0.59934,                0.34348,                0.83676,                 0.9192,                0.87515,                0.93858,                0.80422,                0.59385,                0.35617,                0.83442,              0.0073129,              0.0073129,              0.0073129
                     98,                0.60024,                0.34461,                0.83688,                0.91966,                0.87567,                0.93872,                0.80415,                0.59397,                0.35606,                0.83448,              0.0072846,              0.0072846,              0.0072846
                     99,                0.60395,                0.34608,                0.84044,                0.91991,                0.87541,                0.93854,                0.80411,                0.59423,                0.35643,                0.83465,              0.0072563,              0.0072563,              0.0072563
                    100,                0.59713,                0.33932,                0.83681,                0.92015,                0.87363,                0.93846,                0.80413,                 0.5943,                0.35645,                0.83482,               0.007228,               0.007228,               0.007228
